"focal","origin"
"N.O.R.E.","A Tribe Called Quest"
"Nas","A Tribe Called Quest"
"Nick Grant","A Tribe Called Quest"
"Pell","A Tribe Called Quest"
"Quannum","A Tribe Called Quest"
"Shyheim","A Tribe Called Quest"
"Statik Kxng","A Tribe Called Quest"
"Warm Brew","A Tribe Called Quest"
"Will Jay","A Tribe Called Quest"
"Zimbabwe Legit","A Tribe Called Quest"
"2 Many DJ's","A-Trak"
"Daedelus","A-Trak"
"Girl Talk","A-Trak"
"The Avalanches","A-Trak"
"Styles P","A.G."
"Raydar Ellis","A.G."
"Brown Boy","A.L.T."
"Maxo Kream","A$AP Mob"
"CJ Flemings","A$AP Rocky"
"Trill Sammy","A$AP Rocky"
"Trina","Aaliyah"
"Cherish","Aaliyah"
"Lil' Mo","Aaliyah"
"Azealia Banks","Aaliyah"
"Naja Shiri","Aaliyah"
"T-Love","Abbey Lincoln"
"Outlawz","Above the Law"
"Dead Prez","Above the Law"
"Juvenile","Above the Law"
"2Pac","Above the Law"
"Master P","Above the Law"
"Celly Cel","Above the Law"
"Bone Thugs-N-Harmony","Above the Law"
"Westside Connection","Above the Law"
"Tha Dogg Pound","Above the Law"
"Tha Eastsidaz","Above the Law"
"WC and the Maad Circle","Above the Law"
"187 Fac","Above the Law"
"2Wice","Above the Law"
"Twinz","Above the Law"
"Subtitle","Abstract Rude"
"Busdriver","Aceyalone"
"P.O.S","Aceyalone"
"Planet Asia","Aceyalone"
"Gnarls Barkley","Aceyalone"
"Subtitle","Aceyalone"
"Blackalicious","Aceyalone"
"Macklemore & Ryan Lewis","Aceyalone"
"Juice Aleem","Aceyalone"
"Krondon","Aceyalone"
"LMNO","Aceyalone"
"Motion Man","Aceyalone"
"Self Scientific","Aceyalone"
"Spontaneous","Aceyalone"
"Wildchild","Aceyalone"
"Rehab","Aerosmith"
"Yelawolf","Aerosmith"
"Ill Bill","Aesop Rock"
"Grand Buffet","Aesop Rock"
"Macklemore","Aesop Rock"
"Fat Joe","Afrika Bambaataa"
"KRS-One","Afrika Bambaataa"
"Ice Cube","Afrika Bambaataa"
"LL Cool J","Afrika Bambaataa"
"Run-D.M.C.","Afrika Bambaataa"
"Talib Kweli","Afrika Bambaataa"
"Subtle","Afrika Bambaataa"
"Brand Nubian","Afrika Bambaataa"
"Drama","Afrika Bambaataa"
"Beans","Afrika Bambaataa"
"Ice-T","Afrika Bambaataa"
"Beastie Boys","Afrika Bambaataa"
"Dizzee Rascal","Afrika Bambaataa"
"OutKast","Afrika Bambaataa"
"The X-ecutioners","Afrika Bambaataa"
"De La Soul","Afrika Bambaataa"
"Ultramagnetic MC's","Afrika Bambaataa"
"Jeru the Damaja","Afrika Bambaataa"
"Sir Mix-A-Lot","Afrika Bambaataa"
"Len","Afrika Bambaataa"
"Prince Paul","Afrika Bambaataa"
"Jungle Brothers","Afrika Bambaataa"
"DJ Logic","Afrika Bambaataa"
"DJ Shadow","Afrika Bambaataa"
"EPMD","Afrika Bambaataa"
"DJ Spooky","Afrika Bambaataa"
"Funkmaster Flex","Afrika Bambaataa"
"DJ Godfather","Afrika Bambaataa"
"Mark Ronson","Afrika Bambaataa"
"Jurassic 5","Afrika Bambaataa"
"Mix Master Mike","Afrika Bambaataa"
"Eric Bobo","Afrika Bambaataa"
"The Beatnuts","Afrika Bambaataa"
"A Tribe Called Quest","Afrika Bambaataa"
"Dr. Dre","Afrika Bambaataa"
"DJ Assault","Afrika Bambaataa"
"Whodini","Afrika Bambaataa"
"DJ Magic Mike","Afrika Bambaataa"
"Bass Junkie","Afrika Bambaataa"
"Man Parrish","Afrika Bambaataa"
"Steinski","Afrika Bambaataa"
"Antipop Consortium","Afrika Bambaataa"
"Deltron 3030","Afrika Bambaataa"
"Wayne Wonder","Afrika Bambaataa"
"Kool Moe Dee","Afrika Bambaataa"
"Boogie Down Productions","Afrika Bambaataa"
"C.C. Lemonhead","Afrika Bambaataa"
"The Egyptian Lover","Afrika Bambaataa"
"Dynamix II","Afrika Bambaataa"
"Salt-N-Pepa","Afrika Bambaataa"
"Queen Latifah","Afrika Bambaataa"
"95 South","Afrika Bambaataa"
"Pete Rock & C.L. Smooth","Afrika Bambaataa"
"Main Source","Afrika Bambaataa"
"Treacherous Three","Afrika Bambaataa"
"Slimm Calhoun","Afrika Bambaataa"
"Push Button Objects","Afrika Bambaataa"
"Kurtis Blow","Afrika Bambaataa"
"Mantronix","Afrika Bambaataa"
"J.J. Fad","Afrika Bambaataa"
"Company Flow","Afrika Bambaataa"
"World Class Wreckin' Cru","Afrika Bambaataa"
"Kid Capri","Afrika Bambaataa"
"The Arabian Prince","Afrika Bambaataa"
"The Disposable Heroes of Hiphoprisy","Afrika Bambaataa"
"BS 2000","Afrika Bambaataa"
"N.A.S.A.","Afrika Bambaataa"
"Captain Rock","Afrika Bambaataa"
"Fatboy Slim","Afrika Bambaataa"
"Jazzy Jay","Afrika Bambaataa"
"Leftfield","Afrika Bambaataa"
"Mirwais","Afrika Bambaataa"
"Moor Mother","Afrika Bambaataa"
"The Chemical Brothers","Afrika Bambaataa"
"Talib Kweli","Afrika Bambaataa & the Soulsonic Force"
"Pharoahe Monch","Afrika Bambaataa & the Soulsonic Force"
"Kool Moe Dee","Afrika Bambaataa & the Soulsonic Force"
"Bass Foundation","Afrika Bambaataa & the Soulsonic Force"
"Bass Incorporated","Afrika Bambaataa & the Soulsonic Force"
"DJ Krush","Afrika Bambaataa & the Soulsonic Force"
"The Rock Steady Crew","Afrika Bambaataa & the Soulsonic Force"
"Hieroglyphics","Afrika Bambaataa & the Soulsonic Force"
"Asher Roth","Afroman"
"Matthew Shipp","Ahmad Jamal"
"Arcángel","Akon"
"Quincy Jones","Al Cohn"
"Cee Lo Green","Al Green"
"Gnarls Barkley","Al Green"
"Montell Jordan","Al Green"
"Lyfe Jennings","Al Green"
"Yo Gotti","Al Kapone"
"G. Love","Alan Vega"
"The Last Poets","Albert Ayler"
"William Parker","Albert Ayler"
"Marc Ribot","Albert Ayler"
"Travis Barker","Alex Van Halen"
"Afiara String Quartet","Alexander String Quartet"
"K'NAAN","Ali Farka Touré"
"Marc Ribot","Ali Farka Touré"
"Botany","Alice Coltrane"
"Kool Keith","Alice Cooper"
"Insane Clown Posse","Alice Cooper"
"Sheryfa Luna","Alicia Keys"
"Gil Scott-Heron","Allen Ginsberg"
"Tha Dogg Pound","AMG"
"Carl Hancock Rux","Amiri Baraka"
"The Last Poets","Amiri Baraka"
"Gil Scott-Heron","Amiri Baraka"
"Buraka Som Sistema","Amon Tobin"
"Haywyre","Amon Tobin"
"DJ Magic Mike","Amos Larkins II"
"J Dilla","Amp Fiddler"
"Grace","Amy Winehouse"
"Hoodie Allen","Amy Winehouse"
"Jawz of Life","André 3000"
"Archie Eversole","André 3000"
"Drake","André 3000"
"Kendrick Lamar","André 3000"
"Pouya","André 3000"
"Matthew Shipp","Andrew Hill"
"Daddy Yankee","Andy Montañez"
"Ricky Martin","Andy Montañez"
"Les Nubians","Angélique Kidjo"
"DJ Fresh","Anita Baker"
"C-BO","Ant Banks"
"William Parker","Anthony Braxton"
"Z-Ro","Anthony Hamilton"
"House of Pain","Anthrax"
"Body Count","Anthrax"
"Hot Chip","Antipop Consortium"
"Spoek Mathambo","Antipop Consortium"
"The Glitch Mob","Antipop Consortium"
"Monie Love","Antoinette"
"Neffa","Antônio Carlos Jobim"
"The Free Design","Antônio Carlos Jobim"
"Sergio Mendes","Antônio Carlos Jobim"
"Lil B","Antony and the Johnsons"
"Linkin Park","Aphex Twin"
"Cadence Weapon","Aphex Twin"
"Girl Talk","Aphex Twin"
"DJ Shadow","Aphex Twin"
"DJ Spooky","Aphex Twin"
"Prefuse 73","Aphex Twin"
"Cex","Aphex Twin"
"Four Tet","Aphex Twin"
"Daedelus","Aphex Twin"
"Lee Bannon","Aphex Twin"
"Pham","Arca"
"Metermaids","Arcade Fire"
"William Parker","Archie Shepp"
"Plan B","Arctic Monkeys"
"Monie Love","Aretha Franklin"
"Queen Latifah","Aretha Franklin"
"Timbaland","Arif Mardin"
"Just Jack","Armand Van Helden"
"Wyclef Jean","Arrested Development"
"Spearhead","Arrested Development"
"The Black Eyed Peas","Arrested Development"
"Nappy Roots","Arrested Development"
"Goodie Mob","Arrested Development"
"Knowdaverbs","Arrested Development"
"Speech Debelle","Arrested Development"
"Cee Lo Green","Arrested Development"
