"focal","origin"
"Beastie Boys","Jimi Hendrix"
"Freekbass","Jimi Hendrix"
"The Knux","Jimi Hendrix"
"Jahir & The Experiment","Jimi Hendrix"
"Flo Rida","Jimi Hendrix"
"Goodie Mob","Jimi Hendrix"
"Flatbush Zombies","Jimi Hendrix"
"Ice-T","Jimmy Castor"
"Biz Markie","Jimmy Castor"
"Madcon","Jimmy Cliff"
"Shinehead","Jimmy Cliff"
"Pharrell Williams","Jimmy Jam"
"Timbaland","Jimmy Jam"
"Kenny Burrell","Jimmy Raney"
"G. Love & Special Sauce","Jimmy Reed"
"Beastie Boys","Jimmy Smith"
"Sergio Mendes","João Gilberto"
"Z-Ro","Jodeci"
"Tyrese","Jodeci"
"Pretty Ricky","Jodeci"
"Timbaland","Jodeci"
"T-Pain","Jodeci"
"Wayne Wonder","Jodeci"
"Carl Thomas","Jodeci"
"Chris Brown","Jodeci"
"Trey Songz","Jodeci"
"Monie Love","Jody Watley"
"Eric Bobo","Joe Cuba"
"Danny Brown","Joell Ortiz"
"DJ Spooky","John Cage"
"Faust","John Cage"
"Daedelus","John Cage"
"Rick Wakeman","John Cage"
"clipping.","John Cage"
"Ozomatli","John Coltrane"
"Carl Hancock Rux","John Coltrane"
"DJ Shadow","John Coltrane"
"Four Tet","John Coltrane"
"Skyzoo","John Coltrane"
"BadBadNotGood","John Coltrane"
"The Last Poets","John Coltrane"
"Matthew Shipp","John Coltrane"
"William Parker","John Coltrane"
"Neneh Cherry","John Coltrane"
"Gil Scott-Heron","John Coltrane"
"Yesterdays New Quintet","John Coltrane"
"Russell Gunn","John Coltrane Quartet"
"Moonshine Bandits","John Fogerty"
"G. Love & Special Sauce","John Hammond"
"Goodie Mob","John Lee Hooker"
"Jackie Leven","John Lee Hooker"
"Trip Lee","John Mayer"
"Marc Ribot","John McLaughlin"
"Girl Talk","John Oswald"
"Gilles Peterson","John Peel"
"Everlast","Johnny Cash"
"The Streets","Johnny Cash"
"Moonshine Bandits","Johnny Cash"
"G-Eazy","Johnny Cash"
"Statik Kxng","Johnny J"
"Kenny Burrell","Johnny Smith"
"Busdriver","Jon Hendricks"
"Girl Talk","Jon Oswald"
"Northern State","Joni Mitchell"
"Skylar Grey","Joni Mitchell"
"Sergio Mendes","Jorge Ben"
"Arto Lindsay","Jorge Ben"
"Gil Scott-Heron","José Feliciano"
"Pitbull","Jose Marti"
"Pitbull","José Martí"
"Shaggy","Josey Wales"
"Spoek Mathambo","Joy Division"
"Ace Hood","JT Money"
"The Game","JT the Bigga Figga"
"DJ Godfather","Juan Atkins"
"Global Communication","Juan Atkins"
"DJ Assault","Juan Atkins"
"Wolfgang Voigt","Juan Atkins"
"Body Count","Judas Priest"
"A$AP Rocky","Juelz Santana"
"Meek Mill","Juelz Santana"
"Bobby Shmurda","Juelz Santana"
"The Chicharones","Juggaknots"
"Killa Sha","Juice Crew"
"Blaq Poet","Juice Crew"
"2 Chainz","Juicy J"
"ScHoolboy Q","Juicy J"
"Migos","Juicy J"
"Fetty Wap","Juicy J"
"Mike WiLL Made-It","Juicy J"
"Afiara String Quartet","Juilliard String Quartet"
"Rick Wakeman","Jules Verne"
"The Roots","Jungle Brothers"
"N.O.R.E.","Jungle Brothers"
"Common","Jungle Brothers"
"Talib Kweli","Jungle Brothers"
"Wyclef Jean","Jungle Brothers"
"DJ Hi-Tek","Jungle Brothers"
"Madlib","Jungle Brothers"
"The Black Eyed Peas","Jungle Brothers"
"k-os","Jungle Brothers"
"Mos Def","Jungle Brothers"
"Slum Village","Jungle Brothers"
"Psycho Les","Jungle Brothers"
"Atmosphere","Jungle Brothers"
"Lyrics Born","Jungle Brothers"
"DJ Yoda","Jungle Brothers"
"Q-Tip","Jungle Brothers"
"Common Market","Jungle Brothers"
"J Dilla","Jungle Brothers"
"Capone-N-Noreaga","Jungle Brothers"
"Maspyke","Jungle Brothers"
"Arrested Development","Jungle Brothers"
"Pigeon John","Jungle Brothers"
"Jurassic 5","Jungle Brothers"
"Just Jack","Jungle Brothers"
"The Herbaliser","Jungle Brothers"
"The Saturday Knights","Jungle Brothers"
"Stereo MC's","Jungle Brothers"
"Goodie Mob","Jungle Brothers"
"Spectre","Jungle Brothers"
"Antipop Consortium","Jungle Brothers"
"Saukrates","Jungle Brothers"
"Leaders of the New School","Jungle Brothers"
"Digable Planets","Jungle Brothers"
"Monie Love","Jungle Brothers"
"Pete Rock & C.L. Smooth","Jungle Brothers"
"Organized Konfusion","Jungle Brothers"
"Groove B Chill","Jungle Brothers"
"Jermaine Dupri","Jungle Brothers"
"Black Star","Jungle Brothers"
"Da Bush Babees","Jungle Brothers"
"Fugees","Jungle Brothers"
"Jeru the Damaja","Jungle Brothers"
"P.M. Dawn","Jungle Brothers"
"Spearhead","Jungle Brothers"
"The Streets","Jungle Brothers"
"Zimbabwe Legit","Jungle Brothers"
"The Diplomats","Junior M.A.F.I.A."
"Boyz N da Hood","Junior M.A.F.I.A."
"Shaggy","Junior Reid"
"Heiruspecs","Jurassic 5"
"Brassmunk","Jurassic 5"
"Deux Process","Jurassic 5"
"The Procussions","Jurassic 5"
"Antipop Consortium","Jurassic 5"
"Soundsci","Jurassic 5"
"Kid Sister","Jurassic 5"
"Roots Manuva","Jurassic 5"
"Slum Village","Jurassic 5"
"Statik Kxng","Jurassic 5"
"Warm Brew","Jurassic 5"
"Daniel Swain","Just Blaze"
"14KT","Just Blaze"
"8Ball and MJG","Just-Ice"
"Kool G Rap","Just-Ice"
"Canibus","Just-Ice"
"Blaq Poet","Just-Ice"
"Twenty One Pilots","Justin Bieber"
"Hoodie Allen","Justin Timberlake"
"Chris Brown","Justin Timberlake"
"Young Buck","Juvenile"
"Gucci Mane","Juvenile"
"Ray Cash","Juvenile"
"Soulja Boy Tell Em","Juvenile"
"T.I.","Juvenile"
"Plies","Juvenile"
"Webbie","Juvenile"
"Rich Boy","Juvenile"
"YoungBloodZ","Juvenile"
"Pusha T","Juvenile"
"Curren$y","Juvenile"
"Murphy Lee","Juvenile"
"The Lost Boyz","JVC Force"
"Yo Majesty","K.I.A."
"Aceyalone","K.M.D."
"Black Moon","K.M.D."
"Dilated Peoples","K.M.D."
"Gorillaz","K.M.D."
"El-P","K.M.D."
"Antipop Consortium","K.M.D."
"Kid Cudi","K.M.D."
"Das EFX","K.M.D."
"Cannibal Ox","K.M.D."
"Nick Brewer","Kano"
"Da Weasel","Kanye West"
"J Xavier","Kanye West"
"Kidz in the Hall","Kanye West"
"Kid Cudi","Kanye West"
"Chance the Rapper","Kanye West"
"Big Sean","Kanye West"
"Lil Uzi Vert","Kanye West"
"Kevin Abstract","Kanye West"
"Domo Genesis","Kanye West"
"Skizzy Mars","Kanye West"
"Post Malone","Kanye West"
"Logic","Kanye West"
"Travis Scott","Kanye West"
"L'Orange","Kanye West"
"Far East Movement","Kanye West"
"Bishop Nehru","Kanye West"
"Jaden Smith","Kanye West"
"Krept & Konan","Kanye West"
"Kid Sister","Kanye West"
"G-Dragon","Kanye West"
"T. Mills","Kanye West"
"Amir Obe","Kanye West"
"AudioDamn!","Kanye West"
"Avenue","Kanye West"
"Blessed","Kanye West"
"Charles Hamilton","Kanye West"
"Childish Gambino","Kanye West"
"CJ Flemings","Kanye West"
"D/C","Kanye West"
"Donovan Wolfington","Kanye West"
"Frank Ocean","Kanye West"
"Hare Squead","Kanye West"
"Jez Dior","Kanye West"
"Kari Faux","Kanye West"
"Lil Bibby","Kanye West"
"Master Shortie","Kanye West"
"Miguel","Kanye West"
"NAWAS","Kanye West"
"Pell","Kanye West"
"Rationale","Kanye West"
"Redfoo","Kanye West"
"Rico Nasty","Kanye West"
"River Tiber","Kanye West"
"Sam Lao","Kanye West"
"Shawn Hook","Kanye West"
"Smino","Kanye West"
"Sumner","Kanye West"
"Terence Ryan","Kanye West"
"Tommy Cash","Kanye West"
"Travis Mills","Kanye West"
"Tre Coast","Kanye West"
"Tunji Ige","Kanye West"
"Tyke T","Kanye West"
"Faust","Karlheinz Stockhausen"
"Daedelus","Karlheinz Stockhausen"
"Timbaland","Kashif"
"Lil B","Keak da Sneak"
"Tyrese","Keith Sweat"
"Montell Jordan","Keith Sweat"
"Sisqó","Keith Sweat"
"R. Kelly","Keith Washington"
"Far East Movement","Kelis"
"Trip Lee","Kendrick Lamar"
"Young Thug","Kendrick Lamar"
"CJ Flemings","Kendrick Lamar"
"David Bowie","Kendrick Lamar"
"EDEN","Kendrick Lamar"
"GTA","Kendrick Lamar"
"James Supercave","Kendrick Lamar"
"Moosh & Twist","Kendrick Lamar"
"Nicky Blitz","Kendrick Lamar"
"Spenzo","Kendrick Lamar"
"Biréli Lagrène","Kenny Burrell"
"Dave Stryker","Kenny Burrell"
"Earl Klugh","Kenny Burrell"
"Gabor Szabo","Kenny Burrell"
"George Benson","Kenny Burrell"
"Jim Hall","Kenny Burrell"
"Joe Beck","Kenny Burrell"
"John Pizzarelli","Kenny Burrell"
"Larry Coryell","Kenny Burrell"
"Melvin Sparks","Kenny Burrell"
"Pat Martino","Kenny Burrell"
"Phil Upchurch","Kenny Burrell"
"Russell Malone","Kenny Burrell"
"Stanley Jordan","Kenny Burrell"
"Tuck & Patti","Kenny Burrell"
"The Streets","Kenny Rogers"
"Skatebård","Kevin Saunderson"
"City Girls","Khia"
"Saweetie","Khia"
"Puff Daddy","Kid 'N Play"
"Unk","Kid Capri"
"EPMD","Kid Capri"
"Eric B. & Rakim","Kid Capri"
"Mac Dre","Kid Capri"
"Timbaland","Kid Capri"
"Kevin Abstract","Kid Cudi"
"Skizzy Mars","Kid Cudi"
"Travis Scott","Kid Cudi"
"BROCKHAMPTON","Kid Cudi"
"Blessed","Kid Cudi"
"Hare Squead","Kid Cudi"
"OG Maco","Kid Cudi"
"Raury","Kid Cudi"
"Ripp Flamez","Kid Cudi"
"Tunji Ige","Kid Cudi"
"Fat Joe","Kid Frost"
"B Real","Kid Frost"
"Brown Boy","Kid Frost"
"Funkdoobiest","Kid Frost"
"Baby Bash","Kid Frost"
"Malow Mac","Kid Frost"
"Boo-Yaa T.R.I.B.E.","Kid Frost"
"Mark Ronson","Kid Koala"
"Dark Lotus","Kid Rock"
"Twiztid","Kid Rock"
"Kevin Rudolf","Kid Rock"
"Bubba Sparxxx","Kid Rock"
"Upchurch","Kid Rock"
"Pimpadelic","Kid Rock"
"Moonshine Bandits","Kid Rock"
"Big B","Kid Rock"
"Smut Peddlers","Kid Rock"
"Big & Rich","Kid Rock"
"Crazy Town","Kid Rock"
"Disturbed","Kid Rock"
"Drowning Pool","Kid Rock"
"Finger Eleven","Kid Rock"
"Ill Niño","Kid Rock"
"Papa Roach","Kid Rock"
"Puddle of Mudd","Kid Rock"
"Quarashi","Kid Rock"
"Seether","Kid Rock"
"Skindred","Kid Rock"
"Slipknot","Kid Rock"
"Star Dancer","Kid Rock"
"Taproot","Kid Rock"
"Uncle Kracker","Kid Rock"
"Cilvaringz","Killah Priest"
"Holocaust","Killah Priest"
"Remedy","Killah Priest"
"MC Lars","King Missile"
"Aceyalone","King Tee"
"Mac Dre","King Tee"
"Coolio","King Tee"
"Planet Asia","King Tee"
"Maspyke","King Tee"
"Eazy-E","King Tee"
"DJ Spooky","King Tubby"
"Yo Gotti","Kingpin Skinny Pimp"
"116 Clique","Kirk Franklin"
"Lecrae","Kirk Franklin"
"Kid Rock","Kiss"
"Insane Clown Posse","Kiss"
"Atello","Kiss"
"Lordz of Brooklyn","Kiss"
"Global Communication","Klaus Schulze"
"Playgroup","Klein & MBO"
"Digital Underground","Kool & the Gang"
"A Tribe Called Quest","Kool & the Gang"
"Kwamé","Kool & the Gang"
"DJ Spooky","Kool DJ Herc"
"Grandmaster Flash","Kool DJ Herc"
"Guilty Simpson","Kool G"
"GZA","Kool G Rap"
"Cam'ron","Kool G Rap"
"Styles P","Kool G Rap"
"M.O.P.","Kool G Rap"
"The Notorious B.I.G.","Kool G Rap"
"Nas","Kool G Rap"
"Jay-Z","Kool G Rap"
"Beanie Sigel","Kool G Rap"
"The Game","Kool G Rap"
"Method Man","Kool G Rap"
"Papoose","Kool G Rap"
"Rhymefest","Kool G Rap"
"N.O.R.E.","Kool G Rap"
"Brother Ali","Kool G Rap"
"Talib Kweli","Kool G Rap"
"Cormega","Kool G Rap"
"Jadakiss","Kool G Rap"
"Freeway","Kool G Rap"
"Ransom","Kool G Rap"
"Sean Price","Kool G Rap"
"Immortal Technique","Kool G Rap"
"Royce da 5'9""","Kool G Rap"
"D12","Kool G Rap"
"Beans","Kool G Rap"
"Geto Boys","Kool G Rap"
"Fokis","Kool G Rap"
"AZ","Kool G Rap"
"EPMD","Kool G Rap"
"Onyx","Kool G Rap"
"Breez Evahflowin","Kool G Rap"
"Journalist","Kool G Rap"
"Gang Starr","Kool G Rap"
"Raekwon","Kool G Rap"
"Action Bronson","Kool G Rap"
"Your Old Droog","Kool G Rap"
"Blaq Poet","Kool G Rap"
"Big L","Kool G Rap"
"Big Pun","Kool G Rap"
"Black Thought","Kool G Rap"
"Fat Joe","Kool G Rap"
"Mobb Deep","Kool G Rap"
"Eminem","Kool G Rap & DJ Polo"
"Fat Joe","Kool G Rap & DJ Polo"
"Jay-Z","Kool G Rap & DJ Polo"
"Wu-Tang Clan","Kool G Rap & DJ Polo"
"Trick Daddy","Kool G Rap & DJ Polo"
"DJ Screw","Kool G Rap & DJ Polo"
"Mobb Deep","Kool G Rap & DJ Polo"
"Beanie Sigel","Kool G Rap & DJ Polo"
"Ghostface Killah","Kool G Rap & DJ Polo"
"Clipse","Kool G Rap & DJ Polo"
"Black Moon","Kool G Rap & DJ Polo"
"Killer Mike","Kool G Rap & DJ Polo"
"UGK","Kool G Rap & DJ Polo"
"Cormega","Kool G Rap & DJ Polo"
"Jadakiss","Kool G Rap & DJ Polo"
"Redman","Kool G Rap & DJ Polo"
"Canibus","Kool G Rap & DJ Polo"
"Capone-N-Noreaga","Kool G Rap & DJ Polo"
"El-P","Kool G Rap & DJ Polo"
"Pharoahe Monch","Kool G Rap & DJ Polo"
"The Beatnuts","Kool G Rap & DJ Polo"
"Boss","Kool G Rap & DJ Polo"
"Skull Gang","Kool G Rap & DJ Polo"
"Drama","Kool Herc"
"DJ Logic","Kool Herc"
"Aceyalone","Kool Keith"
"Tech N9ne","Kool Keith"
"Artfull Dodgers","Kool Keith"
"Esham","Kool Keith"
"Peanut Butter Wolf","Kool Keith"
"Murs","Kool Keith"
"Subtle","Kool Keith"
"RZA","Kool Keith"
"Funkdoobiest","Kool Keith"
"Redman","Kool Keith"
"Ol' Dirty Bastard","Kool Keith"
"MF Doom","Kool Keith"
"Beans","Kool Keith"
"Madlib","Kool Keith"
"Handsome Boy Modeling School","Kool Keith"
"DJ Logic","Kool Keith"
"Restiform Bodies","Kool Keith"
"J Dilla","Kool Keith"
"Prefuse 73","Kool Keith"
"Princess Superstar","Kool Keith"
"El-P","Kool Keith"
"MC Paul Barman","Kool Keith"
"Kid Cudi","Kool Keith"
"B.o.B","Kool Keith"
"Danny Brown","Kool Keith"
"Company Flow","Kool Keith"
"Lil B","Kool Keith"
"DJ Powda","Kool Keith"
"Juice Aleem","Kool Keith"
"Serengeti & Polyphonic","Kool Keith"
"Chino Moreno","Kool Keith"
"2Pac","Kool Moe Dee"
"Beanie Sigel","Kool Moe Dee"
"Gucci Mane","Kool Moe Dee"
"Mac Dre","Kool Moe Dee"
"Brand Nubian","Kool Moe Dee"
"Aesop Rock","Kool Moe Dee"
"Public Enemy","Kool Moe Dee"
"Canibus","Kool Moe Dee"
"Daddy Yankee","Kool Moe Dee"
"EPMD","Kool Moe Dee"
"Reks","Kool Moe Dee"
"Will Smith","Kool Moe Dee"
"Masta Ace","Kool Moe Dee"
"MC Ren","Kool Moe Dee"
"Big Daddy Kane","Kool Moe Dee"
"MC Hammer","Kool Moe Dee"
"N.W.A","Kool Moe Dee"
"Eric B. & Rakim","Kool Moe Dee"
"Dana Dane","Kool Moe Dee"
"Rob Base & DJ E-Z Rock","Kool Moe Dee"
"Company Flow","Kool Moe Dee"
"Back Yard Band","Kool Moe Dee"
"Juice Aleem","Kool Moe Dee"
"Blaq Poet","Kool Moe Dee"
"Willy Northpole","Kool Moe Dee"
"Self","Kool Moe Dee"
"Kool Ace","Kool Moe Dee"
"Beastie Boys","Kool Moe Dee"
"Gang Starr","Kool Moe Dee"
"Jay-Z","Kool Moe Dee"
"Kool G Rap","Kool Moe Dee"
"KRS-One","Kool Moe Dee"
"Nas","Kool Moe Dee"
"Eko Fresh","Kool Savas"
"Bosca","Kool Savas"
"Linkin Park","Korn"
"Vanilla Ice","Korn"
"El Gran Silencio","Korn"
"Dirty Heads","Korn"
"Pimpadelic","Korn"
"Machine Gun Kelly","Korn"
"Boondox","Kottonmouth Kings"
"The Streets","Kraftwerk"
"DJ Shadow","Kraftwerk"
"Señor Coconut","Kraftwerk"
"Skatebård","Kraftwerk"
"Afrika Bambaataa","Kraftwerk"
"Man Parrish","Kraftwerk"
"Gold Panda","Kraftwerk"
"Bass Foundation","Kraftwerk"
"The Egyptian Lover","Kraftwerk"
"Dynamix II","Kraftwerk"
"Push Button Objects","Kraftwerk"
"Mantronix","Kraftwerk"
"J.J. Fad","Kraftwerk"
"Arthur Baker","Kraftwerk"
"The Arabian Prince","Kraftwerk"
"N.A.S.A.","Kraftwerk"
"Bow Wow","Kris Kross"
"Deniro Farrar","Kris Kross"
"GZA","KRS-One"
"Xzibit","KRS-One"
"Fat Joe","KRS-One"
"M-1","KRS-One"
"Dead Prez","KRS-One"
"Boot Camp Clik","KRS-One"
"B Real","KRS-One"
"Ghostface Killah","KRS-One"
"Rhymefest","KRS-One"
"One Be Lo","KRS-One"
"Brother Ali","KRS-One"
"Hilltop Hoods","KRS-One"
"Talib Kweli","KRS-One"
"Busdriver","KRS-One"
"Mike-E","KRS-One"
"Wyclef Jean","KRS-One"
"Aesop Rock","KRS-One"
"Redman","KRS-One"
"Amir Sulaiman","KRS-One"
"Jae-P","KRS-One"
"Mike Ladd","KRS-One"
"Saul Williams","KRS-One"
"Immortal Technique","KRS-One"
"Cypress Hill","KRS-One"
"MF Doom","KRS-One"
"MED","KRS-One"
"Canibus","KRS-One"
"Skillz","KRS-One"
"The Impossebulls","KRS-One"
"k-os","KRS-One"
"Garcia","KRS-One"
"Jeru the Damaja","KRS-One"
"Planet Asia","KRS-One"
"Atmosphere","KRS-One"
"Blueprint","KRS-One"
"Q-Tip","KRS-One"
"Common Market","KRS-One"
"Black Ice","KRS-One"
"Mr. Lif","KRS-One"
"Jahir & The Experiment","KRS-One"
"El-P","KRS-One"
"Breez Evahflowin","KRS-One"
"Reks","KRS-One"
"Akrobatik","KRS-One"
"Pharoahe Monch","KRS-One"
"Ill Biskits","KRS-One"
"Fugees","KRS-One"
"Classified","KRS-One"
"Logic","KRS-One"
"Kam","KRS-One"
"Queen Latifah","KRS-One"
"Knowdaverbs","KRS-One"
"Chubb Rock","KRS-One"
"Puff Daddy","KRS-One"
"Neneh Cherry","KRS-One"
"Blaq Poet","KRS-One"
"Mangu","KRS-One"
"Bigg Jus","KRS-One"
"Black Moon","KRS-One"
"Cannibal Ox","KRS-One"
"Channel Live","KRS-One"
"Das EFX","KRS-One"
"Mai Lan","KRS-One"
"Sage Francis","KRS-One"
"The Coup","KRS-One"
"K.M.D.","Kurious"
"KRS-One","Kurtis Blow"
"Snoop Dogg","Kurtis Blow"
"LL Cool J","Kurtis Blow"
"Run-D.M.C.","Kurtis Blow"
"Twista","Kurtis Blow"
"Phat Kat","Kurtis Blow"
"Public Enemy","Kurtis Blow"
"Kool G Rap","Kurtis Blow"
"Ice-T","Kurtis Blow"
"Vanilla Ice","Kurtis Blow"
"De La Soul","Kurtis Blow"
"MC Breed","Kurtis Blow"
"Consequence","Kurtis Blow"
"Guru","Kurtis Blow"
"Will Smith","Kurtis Blow"
"Masta Ace","Kurtis Blow"
"Whodini","Kurtis Blow"
"Shaquille O'Neal","Kurtis Blow"
"Big Daddy Kane","Kurtis Blow"
"Young MC","Kurtis Blow"
"MC Hammer","Kurtis Blow"
"The Fat Boys","Kurtis Blow"
"DJ Jazzy Jeff & the Fresh Prince","Kurtis Blow"
"Eric B. & Rakim","Kurtis Blow"
"Heavy D & the Boyz","Kurtis Blow"
"Boogie Down Productions","Kurtis Blow"
"Salt-N-Pepa","Kurtis Blow"
"Biz Markie","Kurtis Blow"
"Rob Base & DJ E-Z Rock","Kurtis Blow"
"Main Source","Kurtis Blow"
"Slick Rick","Kurtis Blow"
"Organized Konfusion","Kurtis Blow"
"Slimm Calhoun","Kurtis Blow"
"Skee-Lo","Kurtis Blow"
"Doug E. Fresh","Kurtis Blow"
"Beastie Boys","Kurtis Blow"
"EPMD","Kurtis Blow"
"Nas","Kurtis Blow"
"Schoolly D","Kurtis Blow"
"Dopestyle 1231","Kurtis Mantronik"
"Jel","Kurtis Mantronik"
"Playgroup","Kurtis Mantronik"
"Westside Bugg","Kurupt"
"Kendrick Lamar","Kurupt"
"YG","Kurupt"
"Grand Daddy I.U.","Kwamé"
"Dr. Dre","L.A. Dream Team"
"Jermaine Dupri","L.A. Reid"
"Boyz N da Hood","L.O.X."
"Fannypack","L'Trimm"
"Shamir","La Bouche"
"India","La Lupe"
"PSY","Lady Gaga"
"N-Dubz","Lady Sovereign"
"Rye Rye","Lady Sovereign"
"Cher Lloyd","Lady Sovereign"
"Les Nubians","Ladysmith Black Mambazo"
"Coolio","Lakeside"
"One Be Lo","Lakim Shabazz"
"Mos Def","Lakim Shabazz"
"Freestyle Fellowship","Lakim Shabazz"
"Connie Price & the Keystones","Lalo Schifrin"
"The Herbaliser","Lalo Schifrin"
"Danger Mouse","Lalo Schifrin"
"Shawn Lee","Lalo Schifrin"
"Faust","LaMonte Young"
"Rick Wakeman","LaMonte Young"
"Dr. Cornel West","Langston Hughes"
"Killer Mike","Langston Hughes"
"The Last Poets","Langston Hughes"
"Gil Scott-Heron","Langston Hughes"
"The Alchemist","Large Professor"
"Daniel Swain","Large Professor"
"Cormega","Large Professor"
"DJ Hi-Tek","Large Professor"
"Visioneers","Large Professor"
"Rob Swift","Large Professor"
"J-Live","Large Professor"
"J Dilla","Large Professor"
"Mr. Thing","Large Professor"
"7L & Esoteric","Large Professor"
"Ron Browz","Large Professor"
"The Beatnuts","Large Professor"
"Global Communication","Larry Heard"
"Danny Krivit","Larry Levan"
"Kenny ""Dope"" Gonzalez","Larry Levan"
"Playgroup","Larry Levan"
"Arthur Baker","Larry Levan"
"Gilles Peterson","Larry Levan"
"Bad Boy Joe","Latin Rascals"
"The Chicharones","Latyrx"
"Aloe Blacc","Latyrx"
"Georgia Anne Muldrow","Laura Nyro"
"Damian Marley","Laurel Aitken"
"Lil Mama","Lauryn Hill"
"Psalm One","Lauryn Hill"
"Lil' Mo","Lauryn Hill"
"Nicki Minaj","Lauryn Hill"
"Porter Ray","Lauryn Hill"
"Rapsody","Lauryn Hill"
"Sampa the Great","Lauryn Hill"
"Naja Shiri","Lauryn Hill"
"Speech Debelle","Lauryn Hill"
"Princess Nokia","Le Tigre"
"Wu-Tang Clan","Leaders of the New School"
"The Roots","Leaders of the New School"
"Talib Kweli","Leaders of the New School"
"D12","Leaders of the New School"
"The Black Eyed Peas","Leaders of the New School"
"The Pharcyde","Leaders of the New School"
"Onyx","Leaders of the New School"
"The Procussions","Leaders of the New School"
"Craig Mack","Leaders of the New School"
"Fu-Schnickens","Leaders of the New School"
"Atom's Family","Leaders of the New School"
"Trip Lee","Lecrae"
"Steven Malcolm","Lecrae"
"Beastie Boys","Led Zeppelin"
"El Pus","Led Zeppelin"
"Jahir & The Experiment","Led Zeppelin"
"Kid Rock","Led Zeppelin"
"Schoolly D","Led Zeppelin"
"Melon Diesel","Led Zeppelin"
"Yelawolf","Led Zeppelin"
"Wu-Tang Clan","Lee ""Scratch"" Perry"
"Beastie Boys","Lee ""Scratch"" Perry"
"DJ Shadow","Lee ""Scratch"" Perry"
"DJ Spooky","Lee ""Scratch"" Perry"
"Monster","Lee ""Scratch"" Perry"
"Gonjasufi","Lee ""Scratch"" Perry"
"BS 2000","Lee ""Scratch"" Perry"
"Marquis Hill","Lee Morgan"
"Russell Gunn","Lee Morgan"
"Positively Testcard","Lemmy ""Special"" Mabaso"
"Matthew Shipp","Lennie Tristano"
"Bill Cosby","Lenny Bruce"
"N.E.R.D","Lenny Kravitz"
"Dr. Dre","Leon Haywood"
"Beastie Boys","Les McCann"
"Digable Planets","Lester Bowie"
"William Parker","Lester Bowie"
"Shwayze","LFO"
"Lonsdale Boys Club","LFO"
"Brown Boy","Lighter Shade of Brown"
"Malow Mac","Lighter Shade of Brown"
"Hotel Garuda","Lil B"
"Juice WRLD","Lil Durk"
"Chingy","Lil John"
"Yung Joc","Lil Jon"
"Pitbull","Lil Jon"
"Young Buck","Lil Jon"
"Unk","Lil Jon"
"Crime Mob","Lil Jon"
"Gorilla Zoe","Lil Jon"
"Soulja Boy Tell Em","Lil Jon"
"Wiz Khalifa","Lil Jon"
"Hurricane Chris","Lil Jon"
"T.I.","Lil Jon"
"Big Kuntry King","Lil Jon"
"Plies","Lil Jon"
"Bohagon","Lil Jon"
"DJ Crunk Mix","Lil Jon"
"DJ Mustard","Lil Jon"
"New Boyz","Lil Jon"
"Dorrough","Lil Jon"
"Playboi Carti","Lil Jon"
"Lil' Ru","Lil Jon"
"DJ Luke Nasty","Lil Jon"
"Flo Rida","Lil Jon"
"Herobust","Lil Jon"
"Lil Scrappy","Lil Jon"
"Pastor Troy","Lil Jon"
"Shawty Lo","Lil Jon"
"The Cataracs","Lil Jon"
"Trillville","Lil Jon"
"Lil Wayne","Lil Jon & the East Side Boyz"
"Soulja Boy Tell Em","Lil Jon & the East Side Boyz"
"Dem Franchize Boyz","Lil Jon & the East Side Boyz"
"3OH!3","Lil Jon & the East Side Boyz"
"D4L","Lil Jon & the East Side Boyz"
"Flo Rida","Lil Jon & the East Side Boyz"
"Backwood Boys","Lil Jon & the East Side Boyz"
"Lloyd Banks","Lil Wayne"
"Yung Joc","Lil Wayne"
"Wiz Khalifa","Lil Wayne"
"Yung Berg","Lil Wayne"
"T.I.","Lil Wayne"
"Bow Wow","Lil Wayne"
"Kevin Rudolf","Lil Wayne"
"Drake","Lil Wayne"
"Tyler, The Creator","Lil Wayne"
"Pusha T","Lil Wayne"
"French Montana","Lil Wayne"
"Rich Gang","Lil Wayne"
"Rae Sremmurd","Lil Wayne"
"Domo Genesis","Lil Wayne"
"Bas","Lil Wayne"
"Meek Mill","Lil Wayne"
"Flatbush Zombies","Lil Wayne"
"Waka Flocka Flame","Lil Wayne"
"New Boyz","Lil Wayne"
"Yelawolf","Lil Wayne"
"Nicki Minaj","Lil Wayne"
"G-Eazy","Lil Wayne"
"YoungBoy Never Broke Again","Lil Wayne"
"Kodak Black","Lil Wayne"
"Ski Mask the Slump God","Lil Wayne"
"Travis Porter","Lil Wayne"
"OJ da Juiceman","Lil Wayne"
"$uicideboy$","Lil Wayne"
"Bobby Raps","Lil Wayne"
"G Perico","Lil Wayne"
"Hare Squead","Lil Wayne"
"IshDARR","Lil Wayne"
"Jake Paul","Lil Wayne"
"Lajan Slim","Lil Wayne"
"Lil Scrappy","Lil Wayne"
"Moosh & Twist","Lil Wayne"
"Partners-N-Crime","Lil Wayne"
"Trippie Redd","Lil Wayne"
"Two-9","Lil Wayne"
"Yung Bans","Lil Wayne"
"Kodak Black","Lil' Boosie"
"Fetty Wap","Lil' Boosie"
"Suicideyear","Lil' Boosie"
"Webbie","Lil' Flip"
"Fat Tony","Lil' Flip"
"Dorrough","Lil' Flip"
"Lil' Ru","Lil' Flip"
"Slim Thug","Lil' Keke"
"Archie Lee","Lil' Keke"
"Chamillionaire","Lil' Keke"
